"施設名称","所在地","施設名かな","カテゴリ","分類","TEL","FAX","URL","URL2","バリアフリー情報","詳細情報","備考","経度","緯度","分類"
"街にポイステやめて！喫煙所","大阪市平野区平野本町4丁目1番4号","まちにぽいすてやめて！きつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：16.75平方メートル，供用時間：月曜日、火曜日、水曜日、金曜日、土曜日（祝日含む）10時から18時まで，喫煙所形態：屋内閉鎖型喫煙所","","135.552401234187","34.6238455740441","大阪市指定喫煙所"
"コタニホーム喫煙所","大阪市平野区平野東1丁目8番20号","こたにほーむきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：7.5平方メートル，供用時間：月曜日、火曜日、木曜日、金曜日、土曜日、日曜日（祝日除く）の9時から18時まで，喫煙所形態：屋外閉鎖型喫煙所","","135.560254657937","34.6240450105664","大阪市指定喫煙所"
"キコーナ喜連瓜破インター店喫煙所","大阪市平野区瓜破西１丁目８番26号","きこーなきれうりわりいんたーてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：6.08平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで，喫煙所形態：屋内喫煙所","","135.548674043149","34.6086248744338","大阪市指定喫煙所"
"キコーナ昭和町店喫煙所","大阪市阿倍野区昭和町１丁目８番４号","きこーなしょうわちょうてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：5.88平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時45分まで，喫煙所形態：屋内喫煙所","","135.517601096085","34.6342133110977","大阪市指定喫煙所"
"キコーナ喜連瓜破店喫煙所","大阪市平野区瓜破２丁目１番８号","きこーなきれうりわりてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：2.6平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から23時まで，喫煙所形態：屋内喫煙所","","135.55109282219","34.6088104448353","大阪市指定喫煙所"
"キコーナ津守店喫煙所","大阪市西成区津守１丁目９番５号","きこーなつもりてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：7.83平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時40分まで，喫煙所形態：屋内喫煙所","","135.484724234278","34.6467564047111","大阪市指定喫煙所"
"キコーナ海老江店喫煙所","大阪市福島区海老江３丁目23番３号","きこーなえびえてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：8.71平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時45分まで，喫煙所形態：屋内喫煙所","","135.475339486166","34.7021290040394","大阪市指定喫煙所"
"ルクソール喫煙所","大阪市北区梅田１丁目２番２号（大阪駅前第２ビル地下１階）","るくそーるきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：10.75平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時45分まで，喫煙所形態：屋内喫煙所","","135.497531316183","34.6987055261287","大阪市指定喫煙所"
"パーラーレクサス淡路店喫煙所","大阪市東淀川区淡路４丁目12番４号","ぱーらーれくさすあわじてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：3.6平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時45分まで，喫煙所形態：屋内喫煙所","","135.516172172278","34.7402287174625","大阪市指定喫煙所"
"キコーナ西淡路店喫煙所","大阪市東淀川区西淡路６丁目４番120号","きこーなにしあわじてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：11.4平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時30分まで（月・木で11時からの営業日あり），喫煙所形態：屋内喫煙所","","135.515684215183","34.7447885715943","大阪市指定喫煙所"
"キコーナ阪急三国店喫煙所","大阪市淀川区三国本町３丁目37番１号","きこーなはんきゅうみくにてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：3.59平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時40分まで，喫煙所形態：屋内喫煙所","","135.483178366095","34.7370309299375","大阪市指定喫煙所"
"キコーナ今里店喫煙所","大阪市生野区新今里４丁目12番18号","きこーないまざとてんきつえんじょ","環境・リサイクル","大阪市指定喫煙所","","","","","","面積：3.4平方メートル，供用時間：月曜日から日曜日（祝日含む）の10時から22時40分まで，喫煙所形態：屋内喫煙所","","135.548898726718","34.6622491553959","大阪市指定喫煙所"
